N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,63700.0,1900.0,+3.07%,100.0,2796048.0,4266212.0,516339.0
2.0,LG에너지솔루션,534000.0,12000.0,+2.30%,500.0,178519.0,237641.0,7685.0
3.0,SK하이닉스,93800.0,2400.0,+2.63%,5000.0,429978.0,963865.0,124103.0
4.0,삼성바이오로직스,814000.0,10000.0,+1.24%,2500.0,15680.0,79700.0,5373.0
5.0,삼성SDI,719000.0,1000.0,-0.14%,5000.0,135532.0,258332.0,10676.0
6.0,LG화학,679000.0,9000.0,-1.31%,5000.0,426547.0,511353.0,50255.0
7.0,삼성전자우,56800.0,700.0,+1.25%,100.0,,,
8.0,현대차,170400.0,400.0,+0.24%,5000.0,1176106.0,2339464.0,66789.0
9.0,NAVER,212000.0,6500.0,+3.16%,100.0,68176.0,336910.0,13255.0
10.0,카카오,64800.0,2600.0,+4.18%,100.0,61367.0,227796.0,5949.0
11.0,기아,69600.0,100.0,+0.14%,5000.0,698624.0,668500.0,50657.0
12.0,POSCO홀딩스,304000.0,500.0,+0.16%,5000.0,763323.0,914716.0,92381.0
13.0,셀트리온,169800.0,0.0,0.00%,1000.0,19116.0,56741.0,7569.0
14.0,KB금융,56700.0,700.0,-1.22%,5000.0,589176.0,6638958.0,60976.0
15.0,삼성물산,115000.0,3800.0,-3.20%,100.0,344552.0,552454.0,11960.0
16.0,신한지주,41450.0,1000.0,-2.36%,5000.0,286756.0,6481522.0,59521.0
17.0,현대모비스,206000.0,2000.0,-0.96%,5000.0,417022.0,514825.0,20401.0
18.0,포스코케미칼,224000.0,500.0,+0.22%,500.0,19895.0,39225.0,1217.0
19.0,LG전자,101400.0,2300.0,+2.32%,5000.0,747216.0,534815.0,38638.0
20.0,SK이노베이션,173400.0,2800.0,+1.64%,5000.0,468429.0,495574.0,17542.0
21.0,SK,198900.0,1600.0,-0.80%,200.0,983250.0,1653809.0,49355.0
22.0,하나금융지주,47950.0,1250.0,-2.54%,5000.0,416778.0,5024453.0,46311.0
23.0,삼성생명,68200.0,3200.0,-4.48%,500.0,350791.0,3413826.0,17010.0
24.0,카카오뱅크,28250.0,500.0,+1.80%,5000.0,10649.0,360401.0,2569.0
25.0,LG,81100.0,0.0,0.00%,5000.0,68590.0,256698.0,24601.0
26.0,KT&G,91900.0,600.0,-0.65%,5000.0,52284.0,116373.0,13384.0
27.0,한국전력,19480.0,180.0,-0.92%,5000.0,605748.0,2111089.0,-58601.0
28.0,삼성전기,149800.0,5400.0,+3.74%,5000.0,96750.0,99414.0,14869.0
29.0,HMM,22350.0,150.0,-0.67%,5000.0,137941.0,178761.0,73775.0
30.0,고려아연,546000.0,4000.0,-0.73%,5000.0,99768.0,99640.0,10961.0
